,const,SMB,HML,RF
DXC,0.054602192800803494,0.0066669109853750574,-0.01082969041971167,-0.47185159187127357
BBY,0.019541082358161026,0.002210817329569316,0.004370223450096772,0.03756038640359628
AMG,0.0003755138223187175,0.0073294828886133895,0.00275917577592454,-0.12908905001645749
CNP,0.012997250247127909,-0.0011133000519803805,-0.0008590517663891648,-0.048639996097362054
WMT,-0.0009092818272536931,-0.005975066677343205,0.0005499233973091063,0.11534991932260291
MRK,0.0013728449378907943,0.0006668809673935374,0.0006794601076086183,0.12166385956197917
NEM,0.016994314536650776,-0.0023076813015975653,-0.0005404840649662929,-0.029714952206109882
VFC,-0.006049415526009456,0.0013968844409282285,0.002010214570582921,0.19730196356460972
MDT,0.0034671132847793416,0.0020795920594685806,-0.0060282301247057395,0.05428532086935855
HST,0.001034983461023432,0.010112741894038709,0.0033014400214917083,0.05792079949399513
MTD,0.01961983208747545,0.0039908117876339124,-0.0038644250739990208,-0.018827528942435348
CCI,0.007325480744480658,-0.0005762369868900802,-0.004601857339352062,0.04820273235553722
KMI,-0.027913128265323918,0.011820821592531734,0.0059129645036343085,0.32115230134231965
RMD,0.009098955681472546,0.003927462648383275,-0.003075606730025077,0.1111197035228067
LUV,0.012250524173815485,0.005401380391380941,0.0008843861168939642,-0.03638199984323044
NWS,-0.0022704365065972336,0.0023099887697016572,0.003681328469794339,0.058211186133723586
AMGN,0.009037470782109976,0.0032055775023728007,-0.0021953449437012613,0.03052362784870405
APD,-0.00108322323856182,0.0026076585856193175,0.002296144783164615,0.16539288526411344
TGT,-0.008147064663089164,0.0014294004549112937,0.009641542377777469,0.3028529977295092
MYL,-0.0028421234508725413,0.004526760290002192,0.0018952582875221271,-0.09097683298493525
GPC,0.0008003911600025252,0.0051207371024765795,0.0001893606323106452,0.06276367627575975
FCX,-0.001891163502373192,0.010998179011081124,0.012394706735817227,0.11070866222763472
KO,0.0006838274848858282,-0.005418885939455099,0.002013625264136073,0.08159455812783717
DISCK,-0.009427745191772797,0.0029832600274602734,0.003645192044837068,0.17896210465188403
FISV,0.014536153886615234,0.0024864866853267654,-0.0012653632158064242,0.06405738207191738
ACN,0.016280825521481784,0.0028451316519842815,-0.0006702527401127936,0.02244607657800217
SRCL,-0.02221522296609367,0.0010941655372443012,0.0010690646218963163,0.1729782760995574
IT,0.01332346690433063,0.00699722844961615,0.0007617799790233323,0.009617359876830711
PHM,0.002120441326885181,0.005431212262854473,0.002604142186857163,0.14519076081455123
ALB,0.03367819150739826,0.0017536571413079341,-0.0019142674400660236,-0.28065293001887875
AAPL,0.005987941199856655,0.004931592413983861,-0.001345682299433364,0.1550727616130013
EFX,0.011078528371842866,0.005193393778688247,-0.0058807276557670315,-0.013284041779244592
FE,-0.002451406878638091,-0.0019243570466057312,0.0007387511097915397,0.14577054205929424
COST,0.005980175914894143,-0.0018034746701316112,-0.0006820942967235394,0.10289958015359613
GWW,0.0024107099199395824,0.006431067215195288,0.0032268447244832676,0.12455875217394849
M,-0.011542386020787514,0.005896481681248209,0.00407755974011164,0.02543057549762033
CRM,0.014873040869378889,-7.412850546284667e-05,-0.005548307343265805,-0.00039579990001206017
LKQ,0.014537857495396368,0.0053470971714159165,0.001513255128770965,-0.04761918044795356
AON,0.006680561028934077,0.0015864634762429795,0.0009435139219662253,0.09705181569530066
PEP,0.004086966102013735,-0.0027824655981243803,0.00027100662342533893,0.05390015996507866
RJF,0.018681714524599123,0.009820195992038868,0.004638330059977321,-0.04567193855933581
ORCL,0.0010897306841874,0.0026999219806359376,0.0007615105496622633,0.060269906769447164
MHK,0.014372981633269633,0.009915922864270734,-0.00690377559697828,-0.20215305356580537
PPL,0.006571709559758223,-0.0018138806029698432,-0.00034136375802902195,0.004823560245529247
FMC,0.008033358535834903,0.010666783865116833,0.00019694283158191387,0.10441012441921232
OKE,0.013575915943356553,0.008780776073179671,0.004585161808859208,0.08636372038378265
EQR,-0.003909835566767542,0.0017090301870479692,-0.0008173181243912168,0.12413019310354315
RCL,0.01975243093190086,0.003941416119813985,-0.005636660192544253,-0.06304422499483368
IRM,0.004094631956420236,0.0032492382017520567,-0.0011113800780211307,0.015228584961797811
BA,0.02111735367659634,-0.00020803292331649447,0.0007542339810693286,-0.02761835944116539
ABC,-0.0018295140822455935,0.003801786708115283,-0.001025639420351801,0.03267561545581256
GIS,0.0009435160545053865,0.0007990465740259008,0.0011526239587170844,0.0461557415134175
SYF,0.0011334722493736484,0.010176237254636374,0.0040356720133869406,0.09766444670301676
BMY,0.007595561321005819,0.004046723397449761,-0.0017750943739244431,-0.01700271092988921
ADBE,0.026193831915844085,0.0034246846948666025,-0.005826363025614668,-0.008753011222720444
