,const,SMB,HML
DXC,0.0027055396211937118,0.0021715608679726654,-0.00809494599225202
BBY,0.012832284303755766,-0.0024959364985914067,0.004890029094392236
AMG,-0.022844513339905736,0.001884329376905084,0.0041211734736507685
CNP,0.004365852329417184,-0.003109976675936947,-0.00035387171002660756
WMT,0.002256085408092243,-0.009324700740912684,0.0005291755159140962
MRK,0.007878745422708087,-0.0013862959505863224,0.00044208967140494683
NEM,0.015390078281641186,-0.0018133410811530329,-0.0004814717940126005
VFC,0.00047991771145777665,-0.0038115582934635465,0.0018988606960398786
MDT,0.005081029205740786,0.0005612577517815876,-0.0060464477109273135
HST,-0.0019433807333089149,0.006296628079568274,0.00360179415029901
MTD,0.009849093454534632,0.00021386304670501606,-0.003231432054297831
CCI,0.008170392797130673,-0.0021992467321780506,-0.004578017417380762
KMI,-0.007920304234908696,0.007718390783349018,0.005094565704281136
RMD,0.01606804151381458,0.002532073283521434,-0.003362279520304023
LUV,-0.0017266525234148969,0.0003939368151446649,0.0017739498215770884
NWS,-0.005440338078326789,-0.0016077704471970143,0.0039952038637948925
AMGN,0.005097785607785032,8.71634326662647e-05,-0.0018758092437069565
APD,0.007377462083887556,-0.0003627054419075229,0.001999555789713414
TGT,0.010983353196495457,-0.0023099528972273676,0.008850944654895661
MYL,-0.02451739329488167,-0.0017920329402582532,0.0032164576179845535
GPC,0.00017970405611034308,0.0022034506278241404,0.000337479480753113
FCX,-0.009325233471399831,0.0028905750011153034,0.01308726681338321
KO,0.003909311156168197,-0.007327431734269878,0.0019318378666084183
DISCK,-0.004946711686303383,-0.002414479014334999,0.0036422537224714995
FISV,0.014736631835340488,-0.0001012908610306671,-0.0011709301258874052
ACN,0.009868849355631766,-0.001090255890159837,-0.00019614123748286735
SRCL,-0.022258018285950594,-0.0061667067225554635,0.0013638119357144826
IT,0.005330009738181173,0.002859954316258897,0.0013218447512295091
PHM,0.008912260534399644,0.002526784842565276,0.0023870119062542067
ALB,0.002368433023525336,-0.0011266984794755168,-0.00025758756159645086
AAPL,0.010945490106924386,0.0007564990300080075,-0.0014213448715366982
EFX,0.0007058686601651588,0.0009031657817787195,-0.005197430068811308
FE,0.00675542660251788,-0.003724714786167248,0.00035829221456179765
COST,0.0076348598738099505,-0.005337756217054403,-0.0006210672996215375
GWW,0.0036072192006631515,0.0017760641829763456,0.0033555855765822146
M,-0.01468363666366234,0.0033643063690549026,0.004334180915001969
CRM,0.007240655436744172,-0.003623551979868748,-0.005029701714975215
LKQ,-0.0005326085327724342,0.0002992374193914252,0.0024582428417596605
AON,0.009985437459322209,-0.0009320299672676276,0.0008824032981715943
PEP,0.0038765008948540352,-0.0051370616693550315,0.0003762619610134279
RJF,0.005934456315558242,0.005776270290005258,0.0054285423341352175
ORCL,-0.00030873329603807844,-0.00047636694918717394,0.000958338563373307
MHK,-0.01030039515512748,0.006850199605064404,-0.005566166482586201
PPL,0.003213788860912207,-0.003584677698381959,-0.00010476790027688838
FMC,0.007747849643938671,0.006162776881721969,0.000392520353188118
OKE,0.010411584698332773,0.003687153216253335,0.0049461550243462245
EQR,0.0021537894849325695,-0.0006540268152366159,-0.0010204371076595687
RCL,0.0064846103747764425,0.0003814786571611753,-0.004840340375282264
IRM,-0.00028238116944961575,0.0005667475240435319,-0.0007878951648746628
BA,0.010541605927075266,-0.0039931123030906845,0.0014271650064803473
