ticker,name,sector,sharpe ratio,P/E ratio,EPS,beta,mkt cap,shares
ACN,Accenture plc,Information Technology,1.113857669340631,28.34,7.49,1.03,139515576338,656946000
ADBE,Adobe Systems Inc,Information Technology,0.6160597494509739,63.17,6.01,1.09,185174936969,487726000
AES,AES Corp,Utilities,1.1826406099615412,27.44,0.76,1.05,13895280692,663893000
AMG,Affiliated Managers Group Inc,Financials,1.0979859640832188,267.18,0.31,1.69,4084648875,49272000
APD,Air Products & Chemicals Inc,Materials,1.2248244816385878,30.09,8.51,0.86,56495776935,220678000
ALB,Albemarle Corp,Materials,0.9902917360691272,16.67,5.38,1.57,9504798055,106033000
LNT,Alliant Energy Corp,Utilities,1.366717870072912,26.79,2.23,0.23,14358652779,244628000
GOOGL,Alphabet Inc Class A,Information Technology,1.1980263475215909,30.89,49.16,1.02,1044236513876,299895000
AXP,American Express Co,Financials,1.2144084830799449,17.01,7.99,0.99,111178449600,808041000
ABC,AmerisourceBergen Corp,Health Care,2.824204459596733,30.62,3.08,1.01,19427969245,205892000
AMGN,Amgen Inc,Health Care,1.8616491950461436,17.36,12.88,1.12,131810065840,589807000
AON,Aon plc,Financials,1.1043185924986845,37.0,6.37,0.83,54701475530,234137000
AAPL,Apple Inc.,Information Technology,0.9190627984536254,25.66,12.66,1.29,1421812279411,4375480000
AJG,Arthur J. Gallagher & Co.,Financials,0.9671115946025484,31.03,3.52,0.76,20549043209,188247000
ADP,Automatic Data Processing,Information Technology,1.0045789926171458,32.04,5.66,0.87,78255412500,431754000
BBY,Best Buy Co. Inc.,Consumer Discretionary,0.8239151677600225,15.98,5.64,1.12,23344272933,258777000
HRB,Block H&R,Financials,2.2106749521427664,11.75,1.9,0.23,4369605316,195246000
BWA,BorgWarner,Consumer Discretionary,1.6822710938226986,9.2,3.71,1.91,7048901814,206410000
BSX,Boston Scientific,Health Care,0.933786790381214,12.7,3.33,0.87,58972695354,1393824000
BMY,Bristol-Myers Squibb,Health Care,2.6885152748619983,33.05,2.01,0.76,155607591281,2344185000
COG,Cabot Oil & Gas,Energy,1.9529827367707384,7.8,1.9,0.47,6037284157,407925000
COF,Capital One Financial,Financials,2.0347637955056546,9.31,11.02,1.25,46865423721,456600000
