Stock,pe,eps,beta,marketcap,shares
DXC,#N/A,-6.26,#N/A,7819681142,253721000
BBY,15.98,5.64,1.12,23344272933,258777000
AMG,267.18,0.31,1.69,4084648875,49272000
CNP,21.58,1.26,0.44,13650929559,502242000
WMT,23.55,5.00,0.36,334474559018,2837175000
MRK,21.52,3.84,0.57,210425581484,2545984000
NEM,15.83,2.78,0.16,36130286851,819839000
VFC,25.99,3.22,1.20,33022293377,394720000
MDT,33.97,3.45,0.60,157266553194,1340378000
HST,10.89,1.55,1.17,12127479870,717178000
MTD,33.97,22.47,1.39,18357249893,24053000
CCI,83.64,1.98,0.30,69005081855,415768000
KMI,22.87,0.96,0.81,49831386000,2265063000
RMD,56.31,3.14,0.48,25539363082,144617000
LUV,13.77,4.21,1.47,29987649751,517296000
NWS,#N/A,-0.31,1.45,8671670226,199630000
AMGN,17.36,12.88,1.12,131810065840,589807000
APD,30.09,8.51,0.86,56495776935,220678000
TGT,18.64,6.26,0.56,59100734918,506737000
MYL,239.58,0.09,1.72,11303303743,516177000
GPC,17.71,5.45,0.89,14016415887,145293000
FCX,78.35,0.16,2.42,17759187027,1450914000
KO,28.99,2.07,0.41,256586003265,4280000000
DISCK,11.10,2.59,1.45,15392873644,360664000
FISV,71.58,1.71,0.80,83164756192,679895000
ACN,28.34,7.49,1.03,139515576338,656946000
SRCL,#N/A,-4.91,1.31,5875914401,91128000
IT,59.34,2.57,1.21,13633532057,89453000
PHM,12.77,3.66,0.56,12605132379,269975000
ALB,16.67,5.38,1.57,9504798055,106033000
AAPL,25.66,12.66,1.29,1421812279411,4375480000
EFX,#N/A,-3.30,1.22,19750752813,121200000
FE,31.45,1.66,0.20,28241486749,540714000
COST,37.75,8.43,0.90,140615987901,441758000
GWW,17.94,17.15,0.97,16517112872,53688000
M,5.39,3.09,0.66,5150446573,308965000
CRM,200.68,0.95,1.19,168485647293,887000000
LKQ,23.73,1.40,1.30,10174538633,306462000
AON,37.00,6.37,0.83,54701475530,234137000
PEP,28.31,5.19,0.53,204968008309,1389545000
RJF,13.44,7.36,1.50,13782151374,139284000
ORCL,17.61,3.15,1.11,177928293945,3207649000
MHK,13.40,10.30,1.36,9882403253,71622000
PPL,14.38,2.46,0.51,25573676437,723033000
FMC,27.41,3.85,1.54,13670494208,129615000
OKE,25.56,3.01,1.11,31799253894,413085000
EQR,34.53,2.50,0.45,32134657027,371671000
RCL,12.55,9.02,1.44,23627921924,208801000
IRM,35.67,0.93,0.53,9521121824,287300000
BA,#N/A,-1.12,1.28,191747618980,563152000
ABC,30.62,3.08,1.01,19427969245,205892000
GIS,15.34,3.48,0.73,32242795100,604817000
SYF,6.07,5.56,1.21,20704848750,613477000
BMY,33.05,2.01,0.76,155607591281,2344185000
ADBE,63.17,6.01,1.09,185174936969,487726000
SNPS,47.31,3.45,1.18,24589893168,150535000
BWA,9.20,3.71,1.91,7048901814,206410000
MSI,37.31,4.94,0.50,31596072387,171336000
COF,9.31,11.02,1.25,46865423721,456600000
LYB,8.65,9.55,1.45,27505799491,333000000
RTN,19.05,11.93,0.85,63256224340,278441000
FFIV,19.49,6.54,0.98,7753118169,60804000
HLT,37.27,3.04,1.14,31415437971,277448000
CVS,14.05,5.08,0.93,92849804253,1300964000
NEE,34.73,8.02,0.15,136133886150,488776000
KMX,19.16,5.16,1.10,16144071451,163385000
INCY,38.21,2.05,1.06,17006076538,216776000
MGM,#N/A,0.00,1.50,15575639746,494151000
AES,27.44,0.76,1.05,13895280692,663893000
GM,7.60,4.57,1.38,49672072361,1429002000
FDX,583.74,0.27,1.71,41418694505,261119000
ADP,32.04,5.66,0.87,78255412500,431754000
HOLX,173.01,0.31,0.85,13960272160,263302000
NRG,10.31,3.89,0.71,10078855985,251594000
NBL,#N/A,-3.16,1.55,9168232366,478509000
MSFT,32.28,5.74,1.15,1409780857873,7606047000
COG,7.80,1.90,0.47,6037284157,407925000
OXY,29.53,1.41,0.90,37161985836,893317000
GOOGL,30.89,49.16,1.02,1044236513876,299895000
GS,11.27,21.03,1.32,83946946608,354087000
HRB,11.75,1.90,0.23,4369605316,195246000
AJG,31.03,3.52,0.76,20549043209,188247000
CINF,9.52,12.10,0.57,18822318390,163374000
TXN,25.24,5.24,1.24,123223956977,932032000
ETN,19.71,5.25,1.42,42807571261,413400000
EXPE,32.58,3.77,1.01,17792025802,139363000
TMO,36.98,9.17,1.14,136012138268,400991000
BSX,12.70,3.33,0.87,58972695354,1393824000
CTAS,35.38,8.51,0.99,31216601386,103751000
WBA,13.00,4.07,0.92,46817805348,885862000
UNH,20.86,14.33,0.69,283068652543,947415000
HSY,29.33,5.47,0.02,23779704176,148308000
FB,33.32,6.43,1.05,610509360122,2405746000
EIX,#N/A,-0.99,0.13,27662480921,358601000
SBUX,29.15,3.06,0.56,104787934567,1173700000
MCO,37.43,7.42,1.21,52148688479,187700000
HII,18.57,13.26,1.24,10035519873,40760000
RL,14.16,8.61,0.90,8984857815,48862000
LNT,26.79,2.23,0.23,14358652779,244628000
AXP,17.01,7.99,0.99,111178449600,808041000
